Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,84.720001,84.760002,84.190002,84.480003,70.056030,1840100
2017-09-14,84.370003,85.220001,84.169998,85.180000,70.636513,2839400
2017-09-15,85.129997,85.379997,84.580002,85.339996,70.769173,3172800
2017-09-18,85.320000,85.470001,84.610001,84.879997,70.387726,3442200
2017-09-19,84.949997,84.970001,84.260002,84.320000,69.923347,2916500
2017-09-20,84.540001,84.660004,83.720001,84.089996,69.732605,2741300
2017-09-21,84.080002,84.629997,83.919998,83.930000,69.599922,6278500
2017-09-22,83.169998,83.480003,82.440002,82.489998,69.108986,4549600
2017-09-25,82.489998,83.309998,82.489998,82.970001,69.511108,5536300
2017-09-26,83.129997,83.379997,82.910004,83.110001,69.628410,3099300
2017-09-27,82.940002,83.099998,82.070000,82.360001,69.000069,3812800
2017-09-28,82.190002,83.000000,82.190002,82.919998,69.469231,4114300
2017-09-29,82.800003,83.180000,82.620003,83.089996,69.611649,4245200
2017-10-02,83.220001,83.260002,82.839996,82.970001,69.511108,4533800
2017-10-03,82.959999,83.040001,82.660004,82.849998,69.410583,6710800
2017-10-04,82.919998,83.330002,82.629997,83.269997,69.762459,4137400
2017-10-05,83.379997,83.989998,83.370003,83.570000,70.013802,3398700
2017-10-06,83.129997,83.370003,82.599998,83.300003,69.787590,2594800
2017-10-09,83.339996,83.709999,83.250000,83.500000,69.955154,2248200
2017-10-10,83.760002,84.320000,83.500000,83.750000,70.164597,6012600
2017-10-11,83.820000,84.290001,83.809998,84.029999,70.399178,2944800
2017-10-12,84.059998,84.570000,83.930000,84.570000,70.851585,2787500
2017-10-13,84.879997,85.000000,84.400002,84.790001,71.035881,2662600
2017-10-16,84.730003,84.900002,84.300003,84.370003,70.684021,1972300
2017-10-17,84.279999,84.519997,84.120003,84.470001,70.767815,2191300
2017-10-18,84.370003,84.690002,84.209999,84.379997,70.692390,1935900
2017-10-19,84.360001,84.540001,83.839996,84.129997,70.482948,1838700
2017-10-20,84.059998,84.099998,83.330002,83.650002,70.080811,2929900
2017-10-23,83.750000,83.830002,83.230003,83.330002,69.812729,2618800
2017-10-24,83.169998,83.440002,82.540001,82.830002,69.393829,2521400
2017-10-25,82.480003,82.870003,82.019997,82.589996,69.192749,3490900
2017-10-26,82.809998,83.000000,81.610001,81.910004,68.623077,3916400
2017-10-27,81.860001,82.489998,81.339996,82.279999,68.933044,2979900
2017-10-30,81.860001,82.540001,81.860001,82.209999,68.874390,3061000
2017-10-31,82.220001,82.349998,81.489998,82.199997,68.866028,4422700
2017-11-01,82.339996,82.779999,82.150002,82.599998,69.201126,3507700
2017-11-02,82.849998,83.639999,82.730003,83.300003,69.787590,5159300
2017-11-03,82.889999,83.410004,82.529999,83.089996,69.611649,2458400
2017-11-06,83.160004,83.879997,83.110001,83.650002,70.080811,3156300
2017-11-07,83.690002,84.599998,83.680000,84.330002,70.650528,3992500
2017-11-08,84.269997,84.800003,84.230003,84.750000,71.002388,2058200
2017-11-09,84.440002,85.349998,84.209999,84.839996,71.077774,3856400
2017-11-10,84.410004,85.209999,84.250000,84.930000,71.153175,3657400
2017-11-13,84.980003,85.480003,84.849998,85.360001,71.513443,3487200
2017-11-14,85.120003,85.419998,85.029999,85.180000,71.362633,4039200
2017-11-15,85.050003,85.199997,84.269997,84.320000,70.642151,5171100
2017-11-16,84.110001,85.110001,84.099998,85.019997,71.228584,5137200
2017-11-17,84.809998,85.070000,84.550003,84.650002,70.918610,2782600
2017-11-20,84.709999,84.790001,84.260002,84.400002,70.709152,3613800
2017-11-21,84.639999,85.080002,84.510002,85.029999,71.236961,3056900
2017-11-22,84.870003,85.129997,84.629997,84.839996,71.077774,2347400
2017-11-24,84.910004,85.089996,84.879997,84.949997,71.169930,1255000
2017-11-27,85.040001,85.050003,84.519997,84.550003,70.834824,2218000
2017-11-28,84.510002,84.620003,83.790001,84.230003,70.566734,2946800
2017-11-29,84.019997,84.449997,83.760002,84.260002,70.591873,4633900
2017-11-30,84.529999,84.650002,84.139999,84.389999,70.700783,4849800
2017-12-01,84.489998,84.910004,83.849998,84.589996,70.868324,4664700
2017-12-04,84.760002,85.099998,84.150002,84.169998,70.516472,4484100
2017-12-05,83.750000,84.300003,83.449997,83.470001,69.930031,4372600
2017-12-06,83.339996,83.779999,83.000000,83.389999,69.862999,3967900
2017-12-07,83.599998,83.680000,83.110001,83.599998,70.038940,4049100
2017-12-08,83.930000,84.180000,83.550003,84.029999,70.399178,3448600
2017-12-11,84.050003,84.150002,83.839996,84.019997,70.390793,5326200
2017-12-12,84.459999,84.660004,83.739998,84.430000,70.734299,4732000
2017-12-13,84.620003,84.970001,84.410004,84.570000,70.851585,3887100
2017-12-14,84.620003,84.879997,84.379997,84.550003,70.834824,4901000
2017-12-15,84.660004,85.250000,84.629997,85.080002,71.278854,4909500
2017-12-18,85.260002,86.139999,85.250000,85.639999,71.748016,5169400
2017-12-19,85.669998,85.690002,83.669998,83.820000,70.223259,5259200
2017-12-20,83.860001,84.089996,82.839996,82.849998,69.410583,7831900
2017-12-21,81.949997,81.949997,81.180000,81.269997,69.141747,4701300
2017-12-22,81.320000,81.949997,81.220001,81.830002,69.618172,6484400
2017-12-26,81.849998,82.459999,81.680000,82.239998,69.966988,2874500
2017-12-27,82.820000,82.820000,82.309998,82.510002,70.196701,4341500
2017-12-28,82.389999,83.029999,82.309998,82.949997,70.571030,3172900
2017-12-29,83.110001,83.279999,82.849998,82.980003,70.596550,2957300
2018-01-02,83.040001,83.169998,82.400002,82.669998,70.332825,4639500
2018-01-03,82.730003,82.930000,82.260002,82.430000,70.128639,5516900
2018-01-04,82.449997,82.480003,80.989998,81.010002,68.920540,4734100
2018-01-05,81.169998,81.230003,80.839996,81.050003,68.954590,5742900
2018-01-08,81.160004,81.610001,81.040001,81.470001,69.311913,4763200
2018-01-09,81.500000,81.730003,80.389999,80.419998,68.418594,4631000
2018-01-10,80.099998,80.230003,79.110001,79.519997,67.652908,6244400
2018-01-11,79.709999,79.930000,79.169998,79.250000,67.423210,5067100
2018-01-12,79.029999,79.239998,78.470001,78.610001,66.878700,5154600
2018-01-16,78.900002,80.029999,78.739998,78.760002,67.006325,5760800
2018-01-17,79.089996,79.400002,78.699997,79.309998,67.474258,5560300
2018-01-18,79.010002,79.099998,78.220001,78.290001,66.606461,4548200
2018-01-19,78.419998,78.720001,78.199997,78.709999,66.963806,4546800
2018-01-22,78.830002,79.470001,78.739998,79.430000,67.576332,4767400
2018-01-23,79.790001,80.550003,79.660004,80.529999,68.512177,4599700
2018-01-24,80.419998,80.610001,79.830002,80.110001,68.154846,6242500
2018-01-25,79.970001,80.110001,79.449997,79.970001,68.035736,4765000
2018-01-26,79.970001,80.080002,79.230003,79.690002,67.797554,4966400
2018-01-29,79.480003,79.489998,78.570000,78.620003,66.887222,5280200
2018-01-30,78.269997,78.589996,77.919998,78.050003,66.402283,6937600
2018-01-31,78.269997,79.480003,78.019997,79.449997,67.593353,8845500
2018-02-01,79.089996,79.739998,77.599998,77.739998,66.138535,7313200
2018-02-02,77.160004,77.599998,76.440002,77.080002,65.577034,11151800
2018-02-05,76.699997,77.540001,74.690002,74.790001,63.628777,8861900
2018-02-06,73.550003,75.199997,73.089996,74.800003,63.637299,12554100
2018-02-07,74.779999,75.919998,74.430000,74.480003,63.365044,7480000
2018-02-08,74.150002,74.930000,72.269997,72.339996,61.544395,11116900
2018-02-09,72.790001,74.739998,72.050003,74.150002,63.084293,12718500
2018-02-12,74.589996,74.629997,72.110001,74.180000,63.109810,15209300
2018-02-13,74.010002,74.910004,73.519997,74.699997,63.552212,8766100
2018-02-14,74.059998,74.250000,73.160004,74.160004,63.092804,8225700
2018-02-15,74.269997,75.010002,74.059998,74.879997,63.705341,7359200
2018-02-16,75.110001,75.669998,74.820000,75.290001,64.054169,7002400
2018-02-20,75.059998,75.680000,74.309998,74.400002,63.296974,5766000
2018-02-21,74.400002,74.529999,72.930000,72.930000,62.046356,7852900
2018-02-22,73.279999,74.309998,73.129997,73.760002,62.752499,7412700
2018-02-23,74.029999,74.959999,73.919998,74.940002,63.756409,6884100
2018-02-26,75.309998,75.360001,74.639999,75.150002,63.935062,6336100
2018-02-27,75.300003,75.349998,73.379997,73.400002,62.446209,7635400
2018-02-28,73.660004,74.349998,73.349998,73.349998,62.403687,9175500
2018-03-01,73.190002,74.300003,72.830002,73.419998,62.463234,8794700
2018-03-02,73.070000,73.470001,72.620003,73.389999,62.437721,8408100
2018-03-05,73.190002,74.570000,73.139999,74.220001,63.143848,5558100
2018-03-06,74.339996,74.730003,73.690002,74.570000,63.441608,6039100
2018-03-07,74.230003,75.089996,74.190002,75.029999,63.832966,9868300
2018-03-08,75.199997,75.349998,74.790001,75.169998,63.952076,6381300
2018-03-09,75.169998,75.580002,74.680000,75.580002,64.300880,6293400
2018-03-12,75.629997,76.089996,75.379997,75.910004,64.581642,6661400
2018-03-13,76.160004,76.510002,75.720001,75.980003,64.641205,4877100
2018-03-14,75.910004,76.349998,75.730003,76.050003,64.700745,5945100
2018-03-15,76.180000,76.309998,75.629997,76.029999,64.683731,5680500
2018-03-16,75.940002,76.660004,75.769997,76.559998,65.134644,4951000
2018-03-19,76.459999,76.480003,75.419998,75.900002,64.573120,3999400
2018-03-20,75.849998,76.379997,75.349998,75.639999,64.351929,5677000
2018-03-21,75.550003,75.849998,74.680000,75.080002,63.875504,5905400
2018-03-22,74.900002,75.970001,74.610001,74.639999,63.501175,5605700
2018-03-23,74.620003,74.830002,73.120003,73.309998,62.369644,9530900
2018-03-26,73.029999,73.559998,72.680000,73.430000,63.079216,6979200
2018-03-27,73.529999,74.680000,72.669998,73.709999,63.319744,9132000
2018-03-28,73.970001,75.699997,73.839996,75.559998,64.908966,8917300
2018-03-29,75.769997,75.949997,75.160004,75.470001,64.831642,5993400
2018-04-02,75.339996,75.669998,73.949997,74.449997,63.955429,6487700
2018-04-03,74.570000,75.419998,74.080002,75.080002,64.496635,9987300
2018-04-04,74.660004,76.089996,74.489998,75.870003,65.175278,5502800
2018-04-05,75.919998,75.989998,75.190002,75.839996,65.149475,4195900
2018-04-06,75.669998,76.250000,75.019997,75.269997,64.659843,4817500
2018-04-09,75.320000,75.629997,74.910004,75.029999,64.453674,4466300
2018-04-10,75.349998,75.489998,74.830002,74.949997,64.384956,7318500
