Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,39.878719,39.911797,39.878719,39.900772,37.464195,544
2017-09-14,39.911797,40.033077,39.911797,40.011024,37.567715,1542
2017-09-15,40.011024,40.507168,40.011024,40.507168,38.033558,3084
2017-09-18,40.055126,41.488422,40.055126,41.400223,38.872078,9886
2017-09-19,41.300991,41.653805,41.300991,41.565601,39.027359,1088
2017-09-20,41.686878,41.686878,41.245865,41.477398,38.944542,9886
2017-09-21,41.510475,41.576626,41.488422,41.488422,38.954891,2721
2017-09-22,41.510475,41.510475,41.345093,41.411247,38.882427,2449
2017-09-25,41.289967,41.289967,41.124588,41.201763,38.685738,3265
2017-09-26,41.245865,41.411247,41.234840,41.234840,38.716793,8526
2017-09-27,41.179714,41.830208,41.113560,41.830208,39.275803,10158
2017-09-28,41.675854,41.896362,41.675854,41.753033,39.203346,1814
2017-09-29,41.984566,42.249172,41.973537,42.216099,39.638134,2177
2017-10-02,42.238148,42.723263,42.238148,42.723263,40.114326,3991
2017-10-03,42.921719,42.987873,42.822491,42.965820,40.342072,2358
2017-10-04,42.844543,43.285557,42.833515,43.153252,40.518063,2268
2017-10-05,43.274532,43.484013,43.274532,43.417862,40.766506,1633
2017-10-06,43.781696,43.781696,42.855568,42.921719,40.300667,4535
2017-10-10,42.976849,42.976849,42.723263,42.778389,40.166084,2812
2017-10-11,42.723263,42.756340,42.624035,42.624035,40.021156,2812
2017-10-12,42.976849,42.976849,42.778389,42.778389,40.166084,9796
2017-10-13,42.778389,43.009922,42.778389,43.009922,40.383476,1905
2017-10-16,43.076077,43.528114,43.076077,43.439911,40.787212,3174
2017-10-17,43.439911,43.439911,43.395809,43.395809,40.745804,2812
2017-10-18,43.274532,43.274532,43.142227,43.153252,40.518063,1270
2017-10-19,43.153252,43.153252,42.811466,43.109150,40.476643,14693
2017-10-20,43.605293,43.726570,43.362736,43.726570,41.056366,1905
2017-10-23,43.715546,43.781696,43.682468,43.704521,41.035664,7165
2017-10-24,44.101433,44.167583,44.101433,44.145535,41.449749,1633
2017-10-25,44.145535,44.222713,44.024258,44.222713,41.522205,2449
2017-10-26,44.454247,44.674751,44.454247,44.520397,41.801720,5805
2017-10-27,45.082691,45.082691,44.399117,44.498344,41.781006,4716
2017-10-30,44.222713,44.366043,44.123486,44.145535,41.449749,1814
2017-10-31,44.310917,44.454247,44.266815,44.454247,41.739601,2721
2017-11-01,44.410145,44.928333,44.410145,44.718853,41.988056,1270
2017-11-02,44.829105,44.829105,44.200661,44.266815,41.563618,1723
2017-11-03,44.255787,44.255787,43.925030,44.068356,41.377281,3628
2017-11-06,44.178612,44.178612,43.825798,43.825798,41.149532,3174
2017-11-07,43.682468,44.123486,43.682468,43.991180,41.304813,3174
2017-11-08,43.858875,43.925030,43.836826,43.847851,41.170238,1360
2017-11-09,43.902977,43.902977,43.109150,43.109150,40.476643,1723
2017-11-10,43.065048,43.362736,43.065048,43.362736,40.714752,2086
2017-11-13,43.296581,43.550163,43.296581,43.550163,40.890728,1270
2017-11-14,43.539139,43.583241,43.318634,43.484013,40.828625,1814
2017-11-15,43.230431,43.230431,43.087101,43.153252,40.518063,1814
2017-11-16,43.825798,43.825798,43.285557,43.660419,40.994251,1451
2017-11-17,43.561192,44.189636,43.561192,44.057331,41.366928,1995
2017-11-20,44.189636,44.509373,44.068356,44.343990,41.636086,3809
2017-11-21,44.796032,44.873207,44.796032,44.873207,42.132980,907
2017-11-22,45.060638,45.060638,44.630650,44.630650,41.905231,1905
2017-11-23,44.652702,44.829105,44.564499,44.829105,42.091572,2993
2017-11-24,45.082691,45.082691,44.707829,44.707829,41.977703,1814
2017-11-27,44.718853,44.718853,44.663727,44.663727,41.936295,544
2017-11-28,44.751930,45.391399,44.751930,45.314224,42.547066,2177
2017-11-29,46.030872,46.030872,45.545753,45.589855,42.805866,4354
2017-11-30,45.942669,46.207275,45.898567,46.052921,43.240658,3900
