Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,70.059998,70.059998,70.059998,70.059998,61.807537,0
2017-09-14,69.889999,69.889999,69.889999,69.889999,61.657551,0
2017-09-15,70.089996,70.089996,70.089996,70.089996,61.833981,0
2017-09-18,70.150002,70.150002,70.150002,70.150002,61.886925,0
2017-09-19,69.930000,69.930000,69.930000,69.930000,61.692848,0
2017-09-20,69.349998,69.349998,69.349998,69.349998,61.181160,0
2017-09-21,68.680000,68.680000,68.680000,68.680000,60.590080,0
2017-09-22,68.550003,68.550003,68.550003,68.550003,60.475391,0
2017-09-25,68.980003,68.980003,68.980003,68.980003,60.854740,0
2017-09-26,68.769997,68.769997,68.769997,68.769997,61.005547,0
2017-09-27,68.330002,68.330002,68.330002,68.330002,60.615211,0
2017-09-28,68.349998,68.349998,68.349998,68.349998,60.632969,0
2017-09-29,68.309998,68.309998,68.309998,68.309998,60.597488,0
2017-10-02,68.220001,68.220001,68.220001,68.220001,60.517651,0
2017-10-03,68.260002,68.260002,68.260002,68.260002,60.553146,0
2017-10-04,68.519997,68.519997,68.519997,68.519997,60.783775,0
2017-10-05,68.790001,68.790001,68.790001,68.790001,61.023300,0
2017-10-06,68.169998,68.169998,68.169998,68.169998,60.473293,0
2017-10-09,67.919998,67.919998,67.919998,67.919998,60.251499,0
2017-10-10,68.529999,68.529999,68.529999,68.529999,60.792652,0
2017-10-11,68.660004,68.660004,68.660004,68.660004,60.907967,0
2017-10-12,68.949997,68.949997,68.949997,68.949997,61.165218,0
2017-10-13,69.080002,69.080002,69.080002,69.080002,61.280552,0
2017-10-16,69.120003,69.120003,69.120003,69.120003,61.316025,0
2017-10-17,68.849998,68.849998,68.849998,68.849998,61.076511,0
2017-10-18,68.760002,68.760002,68.760002,68.760002,60.996681,0
2017-10-19,68.419998,68.419998,68.419998,68.419998,60.695072,0
2017-10-20,68.300003,68.300003,68.300003,68.300003,60.588600,0
2017-10-23,68.209999,68.209999,68.209999,68.209999,60.508770,0
2017-10-24,68.010002,68.010002,68.010002,68.010002,60.331356,0
2017-10-25,67.820000,67.820000,67.820000,67.820000,60.162819,0
2017-10-26,67.879997,67.879997,67.879997,67.879997,60.216038,0
2017-10-27,67.370003,67.370003,67.370003,67.370003,59.763626,0
2017-10-30,66.750000,66.750000,66.750000,66.750000,59.213619,0
2017-10-31,67.339996,67.339996,67.339996,67.339996,59.736996,0
2017-11-01,67.529999,67.529999,67.529999,67.529999,59.905552,0
2017-11-02,67.279999,67.279999,67.279999,67.279999,59.683773,0
2017-11-03,67.269997,67.269997,67.269997,67.269997,59.674919,0
2017-11-06,66.559998,66.559998,66.559998,66.559998,59.045059,0
2017-11-07,67.190002,67.190002,67.190002,67.190002,59.603939,0
2017-11-08,67.900002,67.900002,67.900002,67.900002,60.233784,0
2017-11-09,67.839996,67.839996,67.839996,67.839996,60.180550,0
2017-11-10,68.500000,68.500000,68.500000,68.500000,60.766022,0
2017-11-13,68.879997,68.879997,68.879997,68.879997,61.103123,0
2017-11-14,69.129997,69.129997,69.129997,69.129997,61.324894,0
2017-11-15,68.410004,68.410004,68.410004,68.410004,60.686207,0
2017-11-16,69.440002,69.440002,69.440002,69.440002,61.599911,0
2017-11-17,69.250000,69.250000,69.250000,69.250000,61.431358,0
2017-11-20,69.250000,69.250000,69.250000,69.250000,61.431358,0
2017-11-21,69.449997,69.449997,69.449997,69.449997,61.608765,0
2017-11-22,69.370003,69.370003,69.370003,69.370003,61.537815,0
2017-11-24,69.339996,69.339996,69.339996,69.339996,61.511204,0
2017-11-27,69.400002,69.400002,69.400002,69.400002,61.564430,0
2017-11-28,70.000000,70.000000,70.000000,70.000000,62.096680,0
2017-11-29,70.440002,70.440002,70.440002,70.440002,62.486988,0
2017-11-30,71.059998,71.059998,71.059998,71.059998,63.036999,0
2017-12-01,71.209999,71.209999,71.209999,71.209999,63.170067,0
2017-12-04,71.870003,71.870003,71.870003,71.870003,63.755550,0
2017-12-05,71.680000,71.680000,71.680000,71.680000,63.586987,0
2017-12-06,72.050003,72.050003,72.050003,72.050003,63.915237,0
2017-12-07,71.480003,71.480003,71.480003,71.480003,63.409573,0
2017-12-08,71.660004,71.660004,71.660004,71.660004,63.569248,0
2017-12-11,71.639999,71.639999,71.639999,71.639999,63.551510,0
2017-12-12,71.550003,71.550003,71.550003,71.550003,63.471676,0
2017-12-13,71.379997,71.379997,71.379997,71.379997,63.775452,0
2017-12-14,71.050003,71.050003,71.050003,71.050003,63.480621,0
2017-12-15,71.860001,71.860001,71.860001,71.860001,64.204308,0
2017-12-18,71.889999,71.889999,71.889999,71.889999,64.231110,0
2017-12-19,71.930000,71.930000,71.930000,71.930000,64.266846,0
2017-12-20,71.849998,71.849998,71.849998,71.849998,64.195389,0
2017-12-21,71.839996,71.839996,71.839996,71.839996,64.186462,0
2017-12-22,71.980003,71.980003,71.980003,71.980003,64.311539,0
2017-12-26,72.150002,72.150002,72.150002,72.150002,64.463417,0
2017-12-27,72.110001,72.110001,72.110001,72.110001,64.427689,0
2017-12-28,72.019997,72.019997,72.019997,72.019997,64.347267,0
2017-12-29,71.970001,71.970001,71.970001,71.970001,64.302612,0
2018-01-02,71.639999,71.639999,71.639999,71.639999,64.007751,0
2018-01-03,71.599998,71.599998,71.599998,71.599998,63.971996,0
2018-01-04,71.809998,71.809998,71.809998,71.809998,64.159653,0
2018-01-05,72.099998,72.099998,72.099998,72.099998,64.418739,0
2018-01-08,72.279999,72.279999,72.279999,72.279999,64.579559,0
2018-01-09,72.139999,72.139999,72.139999,72.139999,64.454483,0
2018-01-10,71.760002,71.760002,71.760002,71.760002,64.114975,0
2018-01-11,71.769997,71.769997,71.769997,71.769997,64.123901,0
2018-01-12,71.760002,71.760002,71.760002,71.760002,64.114975,0
2018-01-16,72.070000,72.070000,72.070000,72.070000,64.391937,0
2018-01-17,72.870003,72.870003,72.870003,72.870003,65.106720,0
2018-01-18,72.660004,72.660004,72.660004,72.660004,64.919106,0
2018-01-19,73.489998,73.489998,73.489998,73.489998,65.660660,0
2018-01-22,74.040001,74.040001,74.040001,74.040001,66.152061,0
2018-01-23,73.879997,73.879997,73.879997,73.879997,66.009109,0
2018-01-24,73.930000,73.930000,73.930000,73.930000,66.053780,0
2018-01-25,73.980003,73.980003,73.980003,73.980003,66.098457,0
2018-01-26,74.410004,74.410004,74.410004,74.410004,66.482651,0
2018-01-29,74.050003,74.050003,74.050003,74.050003,66.161011,0
2018-01-30,73.519997,73.519997,73.519997,73.519997,65.687462,0
2018-01-31,73.220001,73.220001,73.220001,73.220001,65.419418,0
2018-02-01,72.900002,72.900002,72.900002,72.900002,65.133514,0
2018-02-02,71.540001,71.540001,71.540001,71.540001,63.918407,0
2018-02-05,68.980003,68.980003,68.980003,68.980003,61.631142,0
2018-02-06,69.699997,69.699997,69.699997,69.699997,62.274422,0
2018-02-07,69.419998,69.419998,69.419998,69.419998,62.024261,0
2018-02-08,67.959999,67.959999,67.959999,67.959999,60.719799,0
2018-02-09,68.139999,68.139999,68.139999,68.139999,60.880615,0
2018-02-12,68.769997,68.769997,68.769997,68.769997,61.443512,0
2018-02-13,69.040001,69.040001,69.040001,69.040001,61.684753,0
2018-02-14,69.089996,69.089996,69.089996,69.089996,61.729404,0
2018-02-15,70.199997,70.199997,70.199997,70.199997,62.721161,0
2018-02-16,70.500000,70.500000,70.500000,70.500000,62.989201,0
2018-02-20,68.980003,68.980003,68.980003,68.980003,61.631142,0
2018-02-21,68.139999,68.139999,68.139999,68.139999,60.880615,0
2018-02-22,68.260002,68.260002,68.260002,68.260002,60.987858,0
2018-02-23,68.949997,68.949997,68.949997,68.949997,61.604328,0
2018-02-26,69.400002,69.400002,69.400002,69.400002,62.006401,0
2018-02-27,68.489998,68.489998,68.489998,68.489998,61.193336,0
2018-02-28,67.809998,67.809998,67.809998,67.809998,60.585785,0
2018-03-01,67.620003,67.620003,67.620003,67.620003,60.416035,0
2018-03-02,68.260002,68.260002,68.260002,68.260002,60.987858,0
2018-03-05,68.879997,68.879997,68.879997,68.879997,61.541786,0
2018-03-06,68.980003,68.980003,68.980003,68.980003,61.631142,0
2018-03-07,68.400002,68.400002,68.400002,68.400002,61.112926,0
2018-03-08,68.959999,68.959999,68.959999,68.959999,61.613266,0
2018-03-09,69.410004,69.410004,69.410004,69.410004,62.015339,0
2018-03-12,69.290001,69.290001,69.290001,69.290001,61.908108,0
2018-03-13,69.250000,69.250000,69.250000,69.250000,61.872379,0
2018-03-14,68.540001,68.540001,68.540001,68.540001,61.238014,0
2018-03-15,67.779999,67.779999,67.779999,67.779999,60.792255,0
2018-03-16,67.849998,67.849998,67.849998,67.849998,60.855045,0
2018-03-19,67.220001,67.220001,67.220001,67.220001,60.289993,0
2018-03-20,67.010002,67.010002,67.010002,67.010002,60.101631,0
2018-03-21,66.230003,66.230003,66.230003,66.230003,59.402058,0
2018-03-22,65.660004,65.660004,65.660004,65.660004,58.890816,0
2018-03-23,64.879997,64.879997,64.879997,64.879997,58.191223,0
2018-03-26,65.769997,65.769997,65.769997,65.769997,58.989479,0
2018-03-27,65.750000,65.750000,65.750000,65.750000,58.971535,0
2018-03-28,66.580002,66.580002,66.580002,66.580002,59.715965,0
2018-03-29,67.089996,67.089996,67.089996,67.089996,60.173386,0
2018-04-02,65.489998,65.489998,65.489998,65.489998,58.738338,0
2018-04-03,66.370003,66.370003,66.370003,66.370003,59.527626,0
2018-04-04,67.389999,67.389999,67.389999,67.389999,60.442451,0
2018-04-05,67.570000,67.570000,67.570000,67.570000,60.603901,0
2018-04-06,66.949997,66.949997,66.949997,66.949997,60.047821,0
2018-04-09,66.860001,66.860001,66.860001,66.860001,59.967110,0
2018-04-10,67.099998,67.099998,67.099998,67.099998,60.182354,0
2018-04-11,66.989998,66.989998,66.989998,66.989998,60.083694,0
2018-04-12,66.879997,66.879997,66.879997,66.879997,59.985035,0
2018-04-13,67.139999,67.139999,67.139999,67.139999,60.218239,0
2018-04-16,67.889999,67.889999,67.889999,67.889999,60.890915,0
2018-04-17,68.089996,68.089996,68.089996,68.089996,61.070293,0
2018-04-18,67.580002,67.580002,67.580002,67.580002,60.612881,0
2018-04-19,65.760002,65.760002,65.760002,65.760002,58.980507,0
2018-04-20,64.730003,64.730003,64.730003,64.730003,58.056698,0
2018-04-23,64.620003,64.620003,64.620003,64.620003,57.958023,0
2018-04-24,64.300003,64.300003,64.300003,64.300003,57.671028,0
2018-04-25,64.419998,64.419998,64.419998,64.419998,57.778648,0
2018-04-26,64.739998,64.739998,64.739998,64.739998,58.065659,0
2018-04-27,65.059998,65.059998,65.059998,65.059998,58.352661,0
2018-04-30,64.639999,64.639999,64.639999,64.639999,57.975971,0
2018-05-01,64.120003,64.120003,64.120003,64.120003,57.509579,0
2018-05-02,62.930000,62.930000,62.930000,62.930000,56.442261,0
2018-05-03,62.810001,62.810001,62.810001,62.810001,56.334629,0
2018-05-04,63.740002,63.740002,63.740002,63.740002,57.168758,0
2018-05-07,63.410000,63.410000,63.410000,63.410000,56.872776,0
2018-05-08,63.150002,63.150002,63.150002,63.150002,56.639580,0
2018-05-09,63.259998,63.259998,63.259998,63.259998,56.738235,0
2018-05-10,63.680000,63.680000,63.680000,63.680000,57.114944,0
2018-05-11,63.660000,63.660000,63.660000,63.660000,57.097000,0
2018-05-14,63.619999,63.619999,63.619999,63.619999,57.061123,0
2018-05-15,63.410000,63.410000,63.410000,63.410000,56.872776,0
2018-05-16,63.910000,63.910000,63.910000,63.910000,57.321232,0
2018-05-17,64.110001,64.110001,64.110001,64.110001,57.500610,0
2018-05-18,63.689999,63.689999,63.689999,63.689999,57.123913,0
2018-05-21,63.970001,63.970001,63.970001,63.970001,57.375050,0
2018-05-22,63.799999,63.799999,63.799999,63.799999,57.222569,0
2018-05-23,64.089996,64.089996,64.089996,64.089996,57.482655,0
2018-05-24,64.050003,64.050003,64.050003,64.050003,57.446796,0
2018-05-25,64.120003,64.120003,64.120003,64.120003,57.509579,0
2018-05-29,64.029999,64.029999,64.029999,64.029999,57.428852,0
2018-05-30,64.879997,64.879997,64.879997,64.879997,58.191223,0
2018-05-31,63.900002,63.900002,63.900002,63.900002,57.312263,0
2018-06-01,63.919998,63.919998,63.919998,63.919998,57.330189,0
2018-06-04,64.459999,64.459999,64.459999,64.459999,57.814522,0
2018-06-05,64.190002,64.190002,64.190002,64.190002,57.572361,0
2018-06-06,64.250000,64.250000,64.250000,64.250000,57.626175,0
2018-06-07,64.570000,64.570000,64.570000,64.570000,57.913177,0
2018-06-08,65.379997,65.379997,65.379997,65.379997,58.639664,0
2018-06-11,65.870003,65.870003,65.870003,65.870003,59.079166,0
2018-06-12,66.019997,66.019997,66.019997,66.019997,59.213688,0
2018-06-13,65.809998,65.809998,65.809998,65.809998,59.025337,0
2018-06-14,65.970001,65.970001,65.970001,65.970001,59.168861,0
2018-06-15,66.769997,66.769997,66.769997,66.769997,59.886364,0
2018-06-18,65.910004,65.910004,65.910004,65.910004,59.115036,0
2018-06-19,66.269997,66.269997,66.269997,66.269997,59.437923,0
2018-06-20,66.360001,66.360001,66.360001,66.360001,59.518639,0
2018-06-21,66.440002,66.440002,66.440002,66.440002,59.590408,0
2018-06-22,66.980003,66.980003,66.980003,66.980003,60.074730,0
2018-06-25,67.250000,67.250000,67.250000,67.250000,60.316883,0
2018-06-26,67.050003,67.050003,67.050003,67.050003,60.137527,0
2018-06-27,66.190002,66.190002,66.190002,66.190002,59.914837,0
2018-06-28,66.279999,66.279999,66.279999,66.279999,59.996304,0
2018-06-29,66.180000,66.180000,66.180000,66.180000,59.905777,0
2018-07-02,65.879997,65.879997,65.879997,65.879997,59.634228,0
2018-07-03,66.000000,66.000000,66.000000,66.000000,59.742851,0
2018-07-05,66.989998,66.989998,66.989998,66.989998,60.638988,0
2018-07-06,67.190002,67.190002,67.190002,67.190002,60.820034,0
2018-07-09,66.870003,66.870003,66.870003,66.870003,60.530376,0
2018-07-10,67.589996,67.589996,67.589996,67.589996,61.182106,0
2018-07-11,67.330002,67.330002,67.330002,67.330002,60.946758,0
2018-07-12,67.290001,67.290001,67.290001,67.290001,60.910553,0
2018-07-13,67.639999,67.639999,67.639999,67.639999,61.227356,0
2018-07-16,67.290001,67.290001,67.290001,67.290001,60.910553,0
2018-07-17,67.820000,67.820000,67.820000,67.820000,61.390312,0
2018-07-18,67.339996,67.339996,67.339996,67.339996,60.955795,0
2018-07-19,67.379997,67.379997,67.379997,67.379997,60.992008,0
2018-07-20,67.720001,67.720001,67.720001,67.720001,61.299789,0
2018-07-23,67.360001,67.360001,67.360001,67.360001,60.973930,0
2018-07-24,67.400002,67.400002,67.400002,67.400002,61.010120,0
2018-07-25,67.879997,67.879997,67.879997,67.879997,61.444611,0
2018-07-26,68.320000,68.320000,68.320000,68.320000,61.842911,0
2018-07-27,68.309998,68.309998,68.309998,68.309998,61.833836,0
2018-07-30,68.190002,68.190002,68.190002,68.190002,61.725227,0
2018-07-31,68.480003,68.480003,68.480003,68.480003,61.987747,0
2018-08-01,67.839996,67.839996,67.839996,67.839996,61.408398,0
2018-08-02,68.650002,68.650002,68.650002,68.650002,62.141613,0
2018-08-03,69.540001,69.540001,69.540001,69.540001,62.947247,0
2018-08-06,69.570000,69.570000,69.570000,69.570000,62.974396,0
